bin_3,nom_0,nom_1,nom_5,nom_6,nom_7,nom_8,nom_9,ord_3,ord_5,target,SalePrice,GarageArea,GrLivArea,1stFlrSF,1stFlrSF,TotalBsmtSF,LotArea
T,Green,Triangle,50f116bcf,3ac1b8814,68f6ad3e9,c389000ab,2f4cb3d51,h,kr,0,208500.0,548.0,1710.0,856.0,856.0,856.0,8450.0
T,Green,Trapezoid,b3b4d25d0,fbcb50fc1,3b6dd5612,4cd920251,f83c56c21,a,bF,0,181500.0,460.0,1262.0,1262.0,1262.0,1262.0,9600.0
F,Blue,Trapezoid,3263bdce5,0922e3cb8,a6a36f527,de9c9f684,ae6800dd0,h,Jc,0,223500.0,608.0,1786.0,920.0,920.0,920.0,11250.0
F,Red,Trapezoid,f12246592,50d7ad46a,ec69236eb,4ade6ab69,8270f0d71,i,kW,1,140000.0,642.0,1717.0,961.0,961.0,756.0,9550.0
F,Red,Trapezoid,5b0f5acd5,1fe17a1fd,04ddac2be,cb43ab175,b164b72a7,a,qP,0,250000.0,836.0,2198.0,1145.0,1145.0,1145.0,14260.0
T,Blue,Polygon,46cab09da,29a854620,ff5b35098,b7e6f8e6f,51e27c16d,j,PZ,0,143000.0,480.0,1362.0,796.0,796.0,796.0,14115.0
T,Green,Trapezoid,be5592604,3393a0f78,c6587685d,06f5ae149,7e3d79a0d,g,wy,0,307000.0,636.0,1694.0,1694.0,1694.0,1686.0,10084.0
T,Red,Triangle,72f8028dc,55eed5058,2dd9daf45,98addc2c9,feb72ecc2,j,Ed,0,200000.0,484.0,2090.0,1107.0,1107.0,1107.0,10382.0
T,Blue,Square,4604905e7,3e44d44eb,3f0057c9b,a2d110837,34a7273bf,e,qo,0,129900.0,468.0,1774.0,1022.0,1022.0,952.0,6120.0
F,Red,Trapezoid,ad95dc0ee,8ed6221ae,4fbfe4a84,2c15d0173,0ece7a511,h,CZ,0,118000.0,205.0,1077.0,1077.0,1077.0,991.0,7420.0
T,Green,Star,4604905e7,153316f52,b23e16a87,59bd5621f,7f5e74721,g,qX,0,129500.0,384.0,1040.0,1040.0,1040.0,1040.0,11200.0
